"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Transmissible Cases!25!0xcc3333ff","Infection Rate: Disease Spread!5!0xe64d4dff","Pop Concentration: Pop Mobility!10!0x57b757ff","Pop Concentration: Residential Density!10!0x5ced5cff","Intervention: Social Distancing!10!0x4258c9ff","Intervention: Testing!10!0x6079f7ff","Health & Environment: Pop Demographics!10!0x6b0b9eff","Health & Environment: Air Pollution!10!0x8e26c4ff","Health & Environment: Age Distribution!10!0x9a42c8ff","Health & Environment: Co-morbidities!10!0xb460e0ff","Health & Environment: Health Disparities!10!0xc885ecff","Health & Environment: Hospital Beds!5!0xdeb9f1ff"
"0.4643663626364355","6","6","New Hampshire, Hillsborough","-71.72,42.9154","0.517755866947986","0.0860826697004171","0.6945385324260481","0.4998","1.0","0.6009980855836982","0.3338859485135741","0.2694610778443114","0.5067215141840639","0.2419690170181025","0.09802681466354018","0.4434950810038636"
"0.46434984580239536","5","5","Oregon, Clatsop","-123.6607,45.9971","0.3012672772796069","0.029535864978903","0.5852348634540643","0.7577","1.0","0.8399928283600486","0.3538403460982616","0.19760479041916168","0.6335581539925471","0.2667466280562687","0.241768463164264","0.31998174659371653"
"0.46430189863358695","5","8","Colorado, Costilla","-105.4277,37.2773","0.47828717169462626","0.0833333333333333","0.4262075970909254","0.4655","0.5","0.8445127237911245","0.4916771473503022","0.07185628742514971","0.7280164829849926","0.3865842179047587","0.6520346804693516","0.0"
"0.46414138758018486","6","8","Virginia, Carroll","-80.7346,36.7307","0.5927520801830137","0.104452054794521","0.5418504746506514","0.1461","0.75","0.7667880732683704","0.21867278948589197","0.3592814371257485","0.6726459331898672","0.4079939996124984","0.40432840956448857","0.0"
"0.4641102998520695","7","7","Wisconsin, Trempealeau","-91.3589,44.3036","0.7263243994122769","0.190621814475025","0.530680734946678","0.3263","0.75","0.3753453658526103","0.3003695896709847","0.3233532934131737","0.5670390838965326","0.28594202939666935","0.1722470497172556","0.5179593909775176"
"0.46398302670348296","8","3","Kansas, Barber","-98.6846,37.2289","0.6847414069883138","0.5","0.42296903039236583","0.2365","0.5","0.6667518410069643","0.3631613587898273","0.2874251497005988","0.6458942336050534","0.3278452636280116","0.23196436467564543","0.3108461490485734"
"0.4639659587967351","8","3","South Dakota, McPherson","-99.2212,45.7663","0.7520918338118225","0.306451612903226","0.34412018501500796","0.1305","0.5","0.7536738807486562","0.1795310416909043","0.1377245508982036","0.7612552360903706","0.2901435790994721","0.443168989836317","0.45200326119817663"
"0.46395506590048546","5","5","Texas, Dickens","-100.7789,33.6162","0.4111033892199677","0.0196078431372549","0.3686447625165725","0.7373","0.5","0.7958418623204327","0.5740794734210136","0.24550898203592814","0.6726459331898672","0.1962231806044122","0.6716317350492949","0.0"
"0.4638982398655613","6","6","Kansas, Johnson","-94.8225,38.8855","0.6184736610705147","0.108001130901894","0.718837457801256","0.0783","1.0","0.6667518410069643","0.413364618145249","0.407185628742515","0.4752076683887773","0.1515841679618103","0.045832192347813334","0.4829594115957949"
"0.46383216586891546","8","6","Kansas, Miami","-94.8383,38.5638","0.5904665485828051","0.130769230769231","0.5017700857941614","0.0634","1.0","0.6667518410069643","0.35377668013673674","0.40119760479041916","0.5517358041566147","0.33861179148269044","0.058112688635033334","0.6419891810343892"
"0.4638058745812689","8","3","Illinois, Jo Daviess","-90.2109,42.3654","0.734992043790937","0.309322033898305","0.5346873311345915","0.0427","0.75","0.47534688366620315","0.20855433821988745","0.43712574850299407","0.7224119892866149","0.25459124581227693","0.10735881462333065","0.5453119091869342"
"0.4636993302149721","7","3","Kansas, Decatur","-100.4594,39.7847","0.8410548408527023","0.558139534883721","0.4230480895301988","0.0583","0.32499999999999996","0.6667518410069643","0.27011672615981674","0.21556886227544908","0.7403266893073597","0.3672231939570267","0.25438347359633345","0.18763176456077318"
"0.4636868409577755","7","3","South Dakota, Aurora","-98.5605,43.7176","0.843980896497079","0.292682926829268","0.34866225429016046","0.1703","0.5","0.7536738807486562","0.4116585485043612","0.19161676646706588","0.6095051758860066","0.40450267103286885","0.14987251038574378","0.0"
"0.46365586799476083","6","6","Pennsylvania, Bucks","-75.1084,40.3368","0.4946108991680138","0.0573720552396426","0.7082025896777223","0.1983","1.0","0.7533834621659582","0.3662392231582586","0.4251497005988024","0.5712984652022484","0.2239137826876348","0.04384896674248746","0.4802977683230865"
"0.46361438688455636","8","8","Kentucky, Hancock","-86.7828,37.8377","0.6266787896652457","0.19047619047619","0.4993183902472151","0.127","0.575","0.7819427262055939","0.2902645410167639","0.5449101796407185","0.5494974081927578","0.4245988124433443","0.34071270890935196","0.0"
"0.4636135694117813","8","8","New Mexico, Quay","-103.5482,35.104","0.6178900867725118","0.214285714285714","0.43548972817105647","0.1423","0.675","0.4504788730573911","0.4893391818822773","0.17365269461077848","0.6899835619092616","0.3538824474801659","0.5191975633030474","0.4279549863183037"
"0.46335736467326016","6","10","New York, Ulster","-74.2625,41.8903","0.4396081365423535","0.0412244897959184","0.6470225242215975","0.8023","0.825","0.2800083103882401","0.4480216820087038","0.3532934131736527","0.5918944128138512","0.2521433804786459","0.22723635483254853","0.49082878848933914"
"0.46328724208902355","8","6","Virginia, Mathews","-76.341,37.4416","0.635573078576642","0.2","0.5224320122536439","0.0143","0.825","0.7667880732683704","0.44408890057926287","0.3233532934131737","0.7675615085087122","0.26340833846283823","0.17522570318518754","0.0"
"0.46315126067812246","6","8","Colorado, Garfield","-107.9027,39.5992","0.5946399467978563","0.111806797853309","0.550142910155916","0.5915","0.675","0.8445127237911245","0.35760644258444113","0.12574850299401197","0.42856039038869453","0.14971787204270356","0.2842322603648821","0.47973278046692164"
"0.4631440085969592","6","8","Utah, Uintah","-109.5174,40.1249","0.5808963200936557","0.33","0.44872945878853093","0.5043","0.675","0.45238253705663334","0.4678068576325185","0.2095808383233533","0.3530812563017395","0.31357525820350296","0.47116583750678687","0.5528745268295715"
"0.4630990811765132","7","3","Utah, Garfield","-111.4419,37.8545","0.7359677611850726","0.357142857142857","0.3462973151526828","0.3696","0.675","0.45238253705663334","0.34942273266528423","0.08982035928143713","0.6299572389493907","0.23148609860623162","0.4107271734366218","0.4311084560480486"
"0.46308506234841484","8","3","Indiana, Ohio","-84.9652,38.9553","0.7592454277723237","0.371212121212121","0.5566823358941179","0.1207","0.75","0.5465600029917814","0.1671516832438769","0.502994011976048","0.6299572389493907","0.3039814236869605","0.12681695257614042","0.0"
"0.4630712794754999","8","6","Iowa, Dallas","-94.0413,41.6856","0.67028314311672","0.105340808498082","0.7035873104582322","0.1595","1.0","0.5150986098317023","0.3308995911109328","0.3712574850299401","0.41269877075759065","0.1948540398061454","0.01063081592263107","0.7229722169714664"
"0.4628890559835959","7","3","Montana, Sheridan","-104.5038,48.7209","0.7792962008478678","0.557377049180328","0.429141733902015","0.34","0.5","0.611538357351642","0.3590349886061759","0.19161676646706588","0.6527643232093532","0.26494950427272346","0.13406932097140872","0.1521383566094638"
"0.46271201192795053","6","6","Nevada, Douglas","-119.6171,38.9129","0.5155198144085135","0.132992327365729","0.6072715830853386","0.1452","1.0","0.5902900288996975","0.41941115533903284","0.2694610778443114","0.7224119892866149","0.21133168711767591","0.13490039847392757","0.6566530586972698"
"0.46268630436241337","7","3","Kansas, Nemaha","-96.0139,39.7835","0.7852139865992827","0.371929824561403","0.4554782513020492","0.2041","0.5","0.6667518410069643","0.27367349333159363","0.3712574850299401","0.6114115319998742","0.2884590470707458","0.07818862407259225","0.37051730387499826"
"0.46267908374339367","8","3","Nebraska, Cuming","-96.7873,41.9164","0.7608804579790294","0.27536231884058","0.4916115649685443","0.0933","0.75","0.5587064719223515","0.20914972638377788","0.34131736526946105","0.6476236650502001","0.24996297729542571","0.18302453349992026","0.43781987606975226"
"0.4625227971568726","8","6","Kentucky, Spencer","-85.3275,38.0322","0.6207750153366945","0.172535211267606","0.49269310722376886","0.0267","1.0","0.7819427262055939","0.2968461478191607","0.502994011976048","0.4555137084840577","0.4571751512610661","0.12946496751567294","0.0"
"0.462475239206579","8","8","Indiana, Crawford","-86.4452,38.2881","0.6525857919376186","0.225","0.4268790653510495","0.27","0.575","0.5465600029917814","0.23341992420027835","0.5149700598802395","0.5978576089534523","0.4615870035926521","0.41070234526873833","0.0"
"0.4622225594192621","5","8","Texas, Coleman","-99.4524,31.7674","0.44572319033948665","0.0574712643678161","0.4676810343777036","0.1063","0.675","0.7958418623204327","0.48884031109405973","0.2874251497005988","0.6868906660868291","0.37454590709224944","0.5542952669881894","0.39583637409617906"
"0.46215500758972133","5","5","Colorado, Delta","-107.8631,38.8625","0.3467898144935104","0.04","0.526259983649735","0.6466","0.75","0.8445127237911245","0.3358590611288132","0.1377245508982036","0.6976053368935816","0.2559733424657933","0.44141866455703943","0.5080187905069006"
"0.46194510300316255","8","8","Kansas, Greenwood","-96.2325,37.8774","0.6546013438217669","0.28","0.4138358424583703","0.1821","0.5","0.6667518410069643","0.3595997729806269","0.3532934131736527","0.6976053368935816","0.43487235098168747","0.19487846975160086","0.38974680147726054"
"0.4617846181652608","7","3","Idaho, Caribou","-111.5598,42.7715","0.8249028337253198","0.413654618473896","0.42769095529441664","0.3378","0.5","0.762260722060962","0.12474150657526134","0.17365269461077848","0.5472454870957077","0.28428245939754293","0.14120336195193484","0.4086922930578161"
"0.46174965737116785","4","5","New Hampshire, Coos","-71.3063,44.6906","0.4188947258314712","0.405405405405405","0.5088381922371227","0.6979","0.675","0.6009980855836982","0.2729484253508378","0.19161676646706588","0.6628376879802886","0.3645735657777142","0.31032702814945007","0.47378289662408035"
"0.46167942586084565","8","3","Nebraska, Kearney","-98.9488,40.5066","0.8054166574676468","0.322709163346614","0.4685245311286569","0.1792","0.675","0.5587064719223515","0.16857918953851056","0.2694610778443114","0.6017807168377609","0.330588863223733","0.08806793374294562","0.5123756273597553"
"0.46157203188955936","8","5","Colorado, La Plata","-107.8429,37.2863","0.502213742330067","0.158357771260997","0.555899577874886","0.6829","0.75","0.8445127237911245","0.47410900865015565","0.11976047904191617","0.5287228277828","0.12740129088870247","0.10089573974072855","0.5014710187870246"
"0.4613484473929279","8","3","Illinois, Mercer","-90.7429,41.206","0.6917155958342204","0.30327868852459","0.48851302645186956","0.1175","0.75","0.47534688366620315","0.1971852366880334","0.4670658682634731","0.6335581539925471","0.3225449794008001","0.17307001264783206","0.5222861949059896"
"0.4610868796155237","6","6","Indiana, Decatur","-85.5009,39.3071","0.5318748043265873","0.0617977528089888","0.5895261696202434","0.1706","1.0","0.5465600029917814","0.17114984101792646","0.502994011976048","0.5357771420024626","0.3719757660113036","0.22779662363561648","0.573241101435401"
"0.46108222539339144","6","10","New York, Ontario","-77.3087,42.8515","0.5156479362438934","0.187599364069952","0.6570875694545387","0.6301","1.0","0.2800083103882401","0.33591900583592793","0.32934131736526945","0.595880459448231","0.289441198981053","0.06004419898335313","0.40557246863214047"
"0.4609925393108559","9","1","Idaho, Clark","-112.3506,44.285","0.6083321545581799","0.05","0.31686260356206275","0.5224","0.5","0.762260722060962","0.4331684875690925","0.19161676646706588","0.37162696325125594","0.24908582610530247","0.8695549859745073","0.0"
"0.4608365303481474","8","3","Illinois, De Witt","-88.9096,40.1751","0.6750737625764733","0.258964143426295","0.5610947645403704","0.1318","0.75","0.47534688366620315","0.20532566574398467","0.5089820359281437","0.5858342498966352","0.285594310729813","0.18539410962011577","0.5078362621444928"
"0.4607955420371696","4","5","New Mexico, Hidalgo","-108.7152,31.9138","0.5483361973130432","0.0535714285714286","0.4288271198060866","0.7876","0.675","0.4504788730573911","0.37840411734797313","0.18562874251497005","0.6371246099900815","0.2611278068786228","0.558126798301172","0.0"
"0.46074898546680704","6","8","Missouri, Shelby","-92.0763,39.7974","0.6602138019880562","0.215686274509804","0.4605961320202412","0.3712","0.5","0.67525331701489","0.2773771558317633","0.40119760479041916","0.626321192473144","0.3459456043267184","0.3430936696528695","0.0"
"0.4605814770602417","8","3","Iowa, Adair","-94.4711,41.3308","0.7684452065397896","0.421052631578947","0.5657805717637625","0.0554","0.75","0.5150986098317023","0.15736639372530672","0.34131736526946105","0.6544622387094758","0.3051004480514981","0.07673115006132558","0.40874470740308444"
"0.46046119431118254","8","7","Minnesota, Goodhue","-92.7234,44.4085","0.6302050237953134","0.228621291448517","0.5792221406417856","0.432","0.75","0.4134214796784566","0.41710077581911287","0.311377245508982","0.5918944128138512","0.2504333836481116","0.07401652296405693","0.49295152520576596"
"0.4604253992793751","8","8","West Virginia, Monroe","-80.5458,37.5627","0.6798688471959273","0.255605381165919","0.4655835270516084","0.1617","0.5","0.55624732846234","0.2291266556750547","0.34131736526946105","0.6899835619092616","0.47427846812359875","0.509605775928086","0.0"
"0.460335451560716","6","5","Pennsylvania, Wayne","-75.2996,41.6494","0.38949357722417355","0.0671378091872792","0.5180039843530685","0.2318","1.0","0.7533834621659582","0.3493876822676188","0.3712574850299401","0.6694051144412375","0.3474052898419676","0.27209661524248463","0.46830132702520033"
"0.4601338841844745","8","6","Minnesota, Dakota","-93.063,44.6717","0.6476140803592977","0.143609333058022","0.6977014791220465","0.1496","1.0","0.4134214796784566","0.4892348828991025","0.3173652694610779","0.46124754169706367","0.1949135373807165","0.024391313241733943","0.6259163627969563"
"0.4600538104543967","8","6","Iowa, Bremer","-92.318,42.7746","0.6752674741895341","0.15919629057187","0.636111120163437","0.1678","1.0","0.5150986098317023","0.18931919038984293","0.37724550898203596","0.6037268925796017","0.23258230724277934","0.02156598884960925","0.4789123637623575"
"0.4600093909887481","8","6","Indiana, Boone","-86.4684,40.0509","0.608124966014718","0.124208860759494","0.62733653127896","0.1242","1.0","0.5465600029917814","0.2968573898216585","0.5389221556886228","0.44674408486908573","0.2595519547020211","0.02954927428476407","0.5959582966118318"
"0.45996749116789754","8","3","Iowa, Greene","-94.3966,42.0361","0.6750103900034288","0.203296703296703","0.5576061491402321","0.1449","0.75","0.5150986098317023","0.2176300971991304","0.34730538922155696","0.6458942336050534","0.44473203384883986","0.11806060277220422","0.43838439464615375"
"0.4597386769650932","8","6","Illinois, Grundy","-88.4191,41.2857","0.6471419435233531","0.177350427350427","0.6089333819191689","0.0602","1.0","0.47534688366620315","0.29861647127691776","0.5389221556886228","0.46689449529952165","0.24950296403526054","0.09382358751039","0.49592690036796927"
"0.45959200886563395","8","3","Iowa, Shelby","-95.3102,41.685","0.6981886697251449","0.161111111111111","0.5616516651150549","0.1149","0.825","0.5150986098317023","0.2639128969212241","0.33532934131736525","0.6595100604482558","0.3188921946439721","0.08971761410753457","0.46972099713379273"
"0.45958385429547755","8","6","Wisconsin, Ozaukee","-87.9463,43.3835","0.7209244042800376","0.242383512544803","0.6596002154247501","0.1117","1.0","0.3753453658526103","0.2942877009587907","0.44910179640718567","0.5918944128138512","0.12927846160017795","0.0077264047323214674","0.4047221078625715"
"0.45958177248848026","7","7","Wyoming, Converse","-105.5082,42.9727","0.7409374786850251","0.346289752650177","0.4541780857805233","0.4155","0.675","0.5812330957160459","0.3063371589787188","0.023952095808383228","0.5239446622367122","0.3070954313905185","0.18707200931698195","0.4899420876809373"
