"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Disease Spread!15!0xcc3333ff","Infection Rate: Transmissible Cases!15!0xe64d4dff","Pop Concentration: Pop Mobility!10!0x57b757ff","Pop Concentration: Residential Density!10!0x5ced5cff","Intervention: Testing!15!0x4258c9ff","Intervention: Social Distancing!15!0x6079f7ff","Healthcare: Hospital Beds!5!0x9a42c8ff","Healthcare: Age Distribution!5!0xb460e0ff","Healthcare: Co-morbidities!5!0xc885ecff","Healthcare: Health Disparities!5!0xdeb9f1ff"
"0.4963217502179214","1","1","Massachusetts, Barnstable","-70.2885,41.7298","1.0","0.5009611100345336","0.6363044677779439","0.0942","0.14953840949321387","0.32499999999999996","0.5047191173259783","0.7587025424966539","0.7843572359158514","0.4911486144808153"
"0.49626968168145164","1","1","South Dakota, Minnehaha","-96.7911,43.6744","0.8125","0.2963041795717284","0.6209148635260614","0.6765","0.24949782591904068","0.32499999999999996","0.35192908222277064","0.4407808887294848","0.8026728213720273","0.6852750977803191"
"0.4959817369709016","1","1","New York, Chemung","-76.7639,42.1389","1.0","0.3241279284140389","0.6720344887155536","0.6899","0.0","0.25","0.37532676640839197","0.5775976316230177","0.8530304119649105","0.6674271667484886"
"0.49587558010838556","1","1","Michigan, Marquette","-87.6404,46.4339","1.0","0.09673082773882623","0.5537985321481801","0.5804","0.3080499587363047","0.32499999999999996","0.383455593451364","0.5755097168756041","0.8104483465404037","0.6903585215785866"
"0.49583798699681325","1","1","Arkansas, Lee","-90.7838,34.785","0.0","0.0","0.487450718632756","0.9077","0.5778619076423661","1.0","0.0","0.5878652729484978","0.9385380825967811","0.8664692241983744"
"0.4952639141865172","1","1","Wisconsin, Vilas","-89.5172,46.0547","1.0","0.24427775124980897","0.4864852943052167","0.0283","0.26919830344291473","0.5","0.5485713953195351","0.7725308062309592","0.8454152559994413","0.6687620734918033"
"0.4950295956870195","1","1","Vermont, Lamoille","-72.6436,44.6035","1.0","0.43939624197758165","0.5520160131204341","0.4279","0.1657435770623241","0.25","0.5661626564080767","0.5380992168517501","0.7468718766023207","0.5242066805176565"
"0.49485077340374467","1","1","California, Placer","-120.7241,39.0617","0.766666666666667","0.27746926891457646","0.6638338457049918","0.1974","0.6198194188267934","0.25","0.48800230948394097","0.5938927650957907","0.7487008195292287","0.6020858193318379"
"0.4947129667444672","1","1","Texas, Culberson","-104.5186,31.4451","0.0","0.0","0.3994333944725032","0.8844","0.5277986396013505","1.0","0.33659799853778766","0.6017807168377609","0.8486494096655708","0.9561685020991656"
"0.4944620325936466","1","1","Florida, Calhoun","-85.1939,30.4067","0.0","0.0","0.48345407390411127","0.9026","0.4046997267114876","1.0","0.49822349489886875","0.5878652729484978","0.9307462566294482","0.8861982994534308"
"0.494300337595438","1","1","Wisconsin, Grant","-90.7063,42.8672","1.0","0.1306255980737398","0.5506954085304505","0.6619","0.26919830344291473","0.25","0.5184429674482238","0.5494974081927578","0.821612697955171","0.6217911567017438"
"0.49424898736087014","1","1","New Mexico, Taos","-105.631,36.5801","1.0","0.33677041462930174","0.5077352902389031","0.6606","0.12887983149228494","0.07500000000000001","0.580014002594049","0.6915204375207985","0.7799123107820776","0.8749116774779104"
"0.49420557938705356","1","1","Texas, Anderson","-95.6535,31.8153","0.0","0.0","0.5484869940374867","0.978","0.5277986396013505","0.825","0.5162143653496695","0.49129758316188105","0.8812599474965737","0.8839697848539224"
"0.4939457423400605","1","1","Missouri, Barton","-94.3476,37.5021","0.0","0.0","0.4933802939581526","0.4604","0.9397244051695921","0.825","0.47204331235206587","0.6170727822364962","0.888614824239646","0.6994501245479199"
"0.49367676885371364","1","1","South Carolina, Hampton","-81.1385,32.7742","0.0","0.0","0.4924169449580632","0.5903","0.6066317863989359","1.0","0.5026345449384724","0.5712984652022484","0.9362487323694534","0.8780243854511653"
"0.4933758597503215","1","1","Texas, Cherokee","-95.1656,31.8373","0.0","0.0","0.5537841155300733","0.9217","0.5277986396013505","0.825","0.4866496307522044","0.5561726637917245","0.8898189892881526","0.9255117613101512"
"0.4933682615203605","1","1","North Carolina, Dare","-75.7177,35.6652","1.0","0.17655552743838165","0.5975069860139158","0.1885","0.4010566172717014","0.25","0.6328945939749261","0.6207997313712245","0.8302999703343439","0.728520528568635"
"0.493213943610766","1","1","Ohio, Greene","-83.8903,39.6912","1.0","0.1196260268928162","0.6498201266196106","0.3817","0.3575428649214742","0.25","0.558947911686826","0.542700408721451","0.8667607263376013","0.6513228967873494"
"0.4931025117636078","1","1","Wisconsin, Portage","-89.5015,44.4756","1.0","0.08816176870340642","0.6060602562566149","0.5788","0.26919830344291473","0.32499999999999996","0.5299693868421141","0.526341402378779","0.7595102972902077","0.6294284198088604"
